Código;Nombre del producto;Marca;Categoría;Descripción;Precio (USD);Stock;Unidades disponibles
B223;Barra de cereal x6;Granix;Alimentos;Snack saludable con cereales y miel, ideal para colaciones.;2.40;Stock disponible;44
B224;Medialunas manteca x4;Panadería Don Juan;Alimentos;Pastelería artesanal fresca, sabor auténtico.;3.60;Stock disponible;18
B225;Pastelitos de membrillo x6;Panadería Don Juan;Alimentos;Dulces tradicionales de hojaldre y membrillo.;2.80;Stock disponible;17
B226;Tarta de jamón y queso porción;La Buenos Aires;Alimentos;Porción lista para consumir, masa casera.;3.50;Stock disponible;12
B227;Sándwich miga triple x2;La Buenos Aires;Alimentos;Clásico sándwich de miga de jamón, queso y huevo.;2.90;Stock disponible;14
B228;Budin de vainilla 200g;Arcor;Alimentos;Esponjoso y delicioso, perfecto para el mate.;2.20;Stock disponible;21
B229;Chips de papa 120g;Lays;Alimentos;Papas fritas crocantes, sabor original.;2.50;Stock disponible;33
B230;Palitos salados 100g;Don Satur;Alimentos;Snack salado clásico, ideal para picadas.;1.70;Stock disponible;29
B231;Maní salado 120g;Maní King;Alimentos;Maní tostado con sal, snack energético.;2.10;Stock disponible;28
B232;Pasas de uva 100g;Arcor;Alimentos;Fruta deshidratada, fuente natural de energía.;2.00;Stock disponible;21
B233;Frutas secas mix 100g;Nutrilon;Alimentos;Almendras, nueces y pasas, saludable y delicioso.;3.70;Stock disponible;14
B234;Barrita de cereal y yogur;Ser;Alimentos;Barras con yogur y cereales, bajas calorías.;2.30;Stock disponible;18
B235;Mix frutos secos 250g;Nutrilon;Alimentos;Mezcla premium de frutos secos, sin sal.;5.40;Stock disponible;11
B236;Granola 300g;Granix;Alimentos;Mezcla crocante de cereales, frutas y semillas.;3.10;Stock disponible;12
B237;Tostadas de arroz integral 100g;Granix;Alimentos;Livianas y sin TACC, ideales para dietas.;2.20;Stock disponible;16
B238;Galletas de avena 180g;Arcor;Alimentos;Galletitas dulces con avena y miel, fuente de fibra.;2.00;Stock disponible;23
B239;Barra proteica 60g;Star Nutrition;Alimentos;Suplemento con proteínas, sabor chocolate.;3.10;Stock disponible;9
B240;Muesli 200g;Vitalcer;Alimentos;Cereales con frutos secos, ideal para desayunos.;2.80;Stock disponible;10
B241;Cereales azucarados 200g;Kellogg’s;Alimentos;Desayuno divertido y crocante, apto niños.;2.50;Stock disponible;22
B242;Leche chocolatada 1L;La Serenísima;Bebidas;Leche con cacao, lista para tomar.;2.30;Stock disponible;19
B243;Yogur bebible vainilla 900ml;Ilolay;Lácteos;Yogur líquido sabor vainilla, con probióticos.;3.10;Stock disponible;12
B244;Yogur firme frutilla 180g;La Serenísima;Lácteos;Postre lácteo sabor frutilla, cremoso.;1.70;Stock disponible;24
B245;Postre flan vainilla 120g;Ser;Lácteos;Postre listo para comer, bajo en calorías.;1.50;Stock disponible;16
B246;Postre mousse chocolate 90g;Ser;Lácteos;Mousse aireada, sabor intenso a chocolate.;1.90;Stock disponible;14
B247;Crema de leche 330g;Sancor;Lácteos;Ideal para salsas y postres, textura cremosa.;2.90;Stock disponible;11
B248;Leche en polvo 400g;Sancor;Lácteos;Enriquecida con vitaminas, rendimiento superior.;5.40;Stock disponible;13
B249;Flan instantáneo vainilla 70g;Exquisita;Alimentos;Postre fácil y rápido, solo agregar leche.;1.10;Stock disponible;16
B250;Polvo para postre chocolate 70g;Exquisita;Alimentos;Para preparar postre de chocolate casero.;1.10;Stock disponible;17
B251;Helado vainilla pote 1L;Grido;Alimentos;Helado cremoso, sabor clásico.;5.50;Stock disponible;13
B252;Helado chocolate pote 1L;Grido;Alimentos;Helado intenso de cacao, textura suave.;5.50;Stock disponible;14
B253;Helado frutilla pote 1L;Grido;Alimentos;Helado con pulpa de frutilla, fresco y cremoso.;5.50;Stock disponible;12
B254;Hielo bolsas 2kg;Iceberg;Alimentos;Bolsas de hielo listo para usar, agua filtrada.;2.00;Stock disponible;20
B255;Tarta de ricota porción;La Buenos Aires;Alimentos;Tarta dulce, suave y cremosa, lista para consumir.;3.00;Stock disponible;13
B256;Fainá 200g;Don Vicente;Alimentos;Masa de garbanzo para acompañar pizza, lista para hornear.;2.20;Stock disponible;10
B257;Pizza muzzarella lista 460g;Solo Pizza;Alimentos;Lista para horno, masa artesanal y muzzarella.;5.90;Stock disponible;9
B258;Empanadas carne x6;La Salteña;Alimentos;Masa y relleno casero, listas para calentar.;4.90;Stock disponible;11
B259;Empanadas pollo x6;La Salteña;Alimentos;Empanadas caseras, relleno de pollo.;4.90;Stock disponible;10
B260;Milanesas de soja x4;Paty Veggie;Alimentos;Ricas en proteínas, opción vegetariana.;3.20;Stock disponible;14
B261;Patitas de pollo x8;Granja del Sol;Alimentos;Empanadas y listas para hornear o freír.;4.60;Stock disponible;8
B262;Pan rallado 1kg;Noel;Alimentos;Para rebozar milanesas y croquetas.;2.20;Stock disponible;16
B263;Harina de maíz 500g;Mágica;Alimentos;Para polenta, tortas y recetas tradicionales.;1.10;Stock disponible;20
B264;Pan integral 370g;Fargo;Alimentos;Pan saludable, alto en fibra, sin colesterol.;2.10;Stock disponible;18
B265;Pan salvado 350g;Bimbo;Alimentos;Pan con salvado, suave y esponjoso.;2.10;Stock disponible;20
B266;Pan para hamburguesa x6;Bimbo;Alimentos;Ideal para hamburguesas caseras, textura suave.;2.20;Stock disponible;12
B267;Pan para panchos x6;Fargo;Alimentos;Perfecto para hot dogs y picnics.;2.20;Stock disponible;13
B268;Tostadas integrales 150g;Fargo;Alimentos;Bajas calorías, fuente de fibra.;2.00;Stock disponible;15
B269;Tostadas clásicas 150g;Bimbo;Alimentos;Crocantes y ligeras, para desayunos y meriendas.;2.00;Stock disponible;14
B270;Galletitas dulces agua 200g;Bagley;Alimentos;Clásicas galletitas de agua, ideales para untar.;1.90;Stock disponible;20
B271;Galletitas chocolate rellenas 100g;Sonrisas;Alimentos;Con crema de chocolate, tentación para chicos.;2.20;Stock disponible;18
B272;Bizcochuelo vainilla 540g;Exquisita;Alimentos;Para preparar tortas y postres caseros.;2.80;Stock disponible;9
B273;Bizcochuelo chocolate 540g;Exquisita;Alimentos;Mezcla lista para bizcochuelo de chocolate.;2.80;Stock disponible;10
B274;Budin de limón 200g;Arcor;Alimentos;Esponjoso y suave, ideal para el té.;2.20;Stock disponible;11
B275;Mermelada de frutilla 454g;La Campagnola;Alimentos;Frutilla seleccionada, sin conservantes.;2.00;Stock disponible;14
B276;Mermelada de naranja 454g;La Campagnola;Alimentos;Fruta fresca y natural, textura artesanal.;2.00;Stock disponible;15
B277;Mermelada de frutos rojos 454g;La Campagnola;Alimentos;Mezcla de frutos del bosque, sabor único.;2.20;Stock disponible;13
B278;Dulce de membrillo 400g;Arcor;Alimentos;Dulce tradicional argentino, sabor intenso.;2.10;Stock disponible;17
B279;Dulce de batata 400g;Arcor;Alimentos;Dulce suave, ideal para postres o acompañar queso.;2.10;Stock disponible;18
B280;Dulce de leche repostero 400g;La Serenísima;Lácteos;Especial para tortas y postres.;2.60;Stock disponible;12
B281;Leche evaporada 400g;Sancor;Lácteos;Para cocinar y preparar postres.;2.80;Stock disponible;9
B282;Leche condensada 397g;Nestlé;Lácteos;Perfecta para postres y recetas dulces.;2.80;Stock disponible;8
B283;Yogur descremado 180g;La Serenísima;Lácteos;Sin azúcar agregada, bajo en calorías.;1.60;Stock disponible;10
B284;Postre arroz con leche 170g;Ilolay;Lácteos;Clásico postre listo para consumir.;1.80;Stock disponible;7
B285;Crema para café 200ml;Ilolay;Lácteos;Le da cremosidad al café, sin cortar.;1.70;Stock disponible;11
B286;Flan casero caramelo 150g;Ser;Lácteos;Sabor tradicional, textura suave y cremosa.;1.90;Stock disponible;8
B287;Arroz integral 1kg;Molinos Ala;Alimentos;Rico en fibras, ideal para dietas.;2.20;Stock disponible;14
B288;Arroz parboil 1kg;Gallo;Alimentos;No se pasa, siempre suelto, fácil de cocinar.;2.40;Stock disponible;15
B289;Quinoa 250g;Nutrilon;Alimentos;Superalimento andino, fuente de proteínas.;3.80;Stock disponible;7
B290;Semillas de chía 200g;Nutrilon;Alimentos;Fuente de Omega 3, para yogur, jugos o ensaladas.;2.90;Stock disponible;8
B291;Harina integral 1kg;Blancaflor;Alimentos;Para panificados y recetas saludables.;2.20;Stock disponible;10
B292;Harina leudante 1kg;Blancaflor;Alimentos;Ideal para tortas y bizcochuelos.;2.20;Stock disponible;9
B293;Azúcar impalpable 500g;Ledesma;Alimentos;Para decorar tortas y postres.;2.10;Stock disponible;12
B294;Polvo de hornear 100g;Royal;Alimentos;Leudante para pastelería y repostería.;1.30;Stock disponible;10
B295;Esencia de vainilla 120ml;Ala;Alimentos;Para saborizar postres y bebidas.;1.60;Stock disponible;11
B296;Cacao en polvo 100g;Nesquik;Alimentos;Ideal para leche chocolatada y postres.;2.20;Stock disponible;13
B297;Granos de café 250g;Bonafide;Bebidas;Para moler en el momento y preparar café fresco.;3.50;Stock disponible;7
B298;Té verde en saquitos x25;La Virginia;Bebidas;Antioxidante natural, sabor suave.;1.70;Stock disponible;15
B299;Infusión de hierbas x20;Hierbas Serranas;Bebidas;Mezcla de hierbas digestivas, sin cafeína.;2.20;Stock disponible;11
B300;Cacao instantáneo 400g;Chocolino;Bebidas;Para preparar bebidas chocolatadas al instante.;3.00;Stock disponible;13
B301;Agua mineral sin gas 1.5L;Glaciar;Bebidas;Agua mineral natural, pura y refrescante.;1.10;Stock disponible;35
B302;Agua mineral con gas 1.5L;Ser;Bebidas;Agua mineral gasificada, ideal para refrescarse.;1.20;Stock disponible;38
B303;Gaseosa naranja 1.5L;Fanta;Bebidas;Bebida gaseosa sabor naranja, refrescante y burbujeante.;1.40;Stock disponible;51
B304;Gaseosa lima limón 1.5L;Sprite;Bebidas;Gaseosa sabor lima limón, sin cafeína y muy refrescante.;1.40;Stock disponible;49
B305;Gaseosa pomelo 1.5L;Schweppes;Bebidas;Gaseosa sabor pomelo, ideal para mezclas y refrescos.;1.50;Stock disponible;29
B306;Energizante lata 473ml;Speed;Bebidas;Bebida energética para activar cuerpo y mente.;2.20;Stock disponible;32
B307;Bebida isotónica 500ml;Gatorade;Bebidas;Hidratante, con electrolitos y sabor cítrico.;1.90;Stock disponible;27
B308;Jugo multifruta 1L;Baggio;Bebidas;Bebida a base de jugos de frutas seleccionadas.;2.10;Stock disponible;23
B309;Jugo manzana 1L;Ades;Bebidas;Jugo de manzana 100% natural, sin azúcar agregada.;2.20;Stock disponible;17
B310;Néctar durazno 1L;CBC;Bebidas;Néctar espeso y dulce, fuente de vitamina C.;2.10;Stock disponible;16
B311;Agua saborizada limón 1.5L;Levité;Bebidas;Agua baja en calorías, sabor a limón.;1.30;Stock disponible;18
B312;Agua saborizada pomelo 1.5L;Levité;Bebidas;Agua saborizada, ligera y sin azúcar.;1.30;Stock disponible;15
B313;Bebida vegetal almendra 1L;Silk;Bebidas;Alternativa a la leche, sin lactosa ni gluten.;2.90;Stock disponible;10
B314;Bebida vegetal soja 1L;Ades;Bebidas;Bebida vegetal fuente de proteínas, sin lactosa.;2.80;Stock disponible;12
B315;Bebida vegetal avena 1L;Silk;Bebidas;Sabor suave, ideal para desayunos saludables.;2.90;Stock disponible;9
B316;Bebida vegetal coco 1L;Ades;Bebidas;Refrescante y liviana, apta veganos.;2.90;Stock disponible;11
B317;Vino tinto Malbec 750ml;Trapiche;Bebidas;Vino argentino de calidad, ideal para carnes.;4.50;Stock disponible;28
B318;Vino blanco Torrontés 750ml;Norton;Bebidas;Vino frutado, perfecto para aperitivos.;4.40;Stock disponible;17
B319;Cerveza rubia 1L;Quilmes;Bebidas;Cerveza lager argentina, fresca y liviana.;2.60;Stock disponible;30
B320;Cerveza negra lata 473ml;Imperial;Bebidas;Cerveza de sabor intenso y notas tostadas.;2.40;Stock disponible;19
B321;Cerveza IPA lata 473ml;Patagonia;Bebidas;Cerveza artesanal, sabor lupulado y fresco.;2.70;Stock disponible;14
B322;Aperitivo Fernet 750ml;Branca;Bebidas;Bebida alcohólica herbal, ideal para cócteles.;6.20;Stock disponible;11
B323;Aperitivo Americano 950ml;Cinzano;Bebidas;Perfecto para tragos y aperitivos.;5.90;Stock disponible;8
B324;Whisky escocés 750ml;Johnnie Walker;Bebidas;Whisky premium, notas ahumadas y frutales.;18.00;Stock disponible;6
B325;Gin London Dry 750ml;Bombay Sapphire;Bebidas;Gin de calidad superior, ideal para gin tonic.;14.50;Stock disponible;5
B326;Vodka importado 750ml;Absolut;Bebidas;Suave y cristalino, ideal para tragos y cócteles.;13.90;Stock disponible;7
B327;Licor de crema 750ml;Baileys;Bebidas;Licor cremoso, sabor a whisky y chocolate.;12.50;Stock disponible;4
B328;Sidra 720ml;Real;Bebidas;Bebida tradicional para brindar en fiestas.;3.50;Stock disponible;15
B329;Aperitivo Gancia 950ml;Gancia;Bebidas;Bebida herbal, perfecta para tragos refrescantes.;5.60;Stock disponible;12
B330;Aceitunas verdes descarozadas 200g;Nucete;Alimentos;Aceitunas seleccionadas, ideales para picadas.;2.90;Stock disponible;19
B331;Pickles en vinagre 350g;La Colina;Alimentos;Mezcla de verduras en vinagre, sabor agridulce.;3.20;Stock disponible;9
B332;Tomates secos 100g;La Colina;Alimentos;Tomates deshidratados, perfectos para pizzas y pastas.;2.80;Stock disponible;7
B333;Chorizo parrillero x4;Paladini;Alimentos;Clásico argentino, listo para asar.;5.20;Stock disponible;13
B334;Morcilla x2;Paladini;Alimentos;Morcilla tradicional, suave y especiada.;3.60;Stock disponible;8
B335;Salchichas viena x6;Paladini;Alimentos;Para panchos, rápidas de preparar.;2.20;Stock disponible;14
B336;Salame milán 200g;Paladini;Alimentos;Salame curado, sabor intenso.;4.50;Stock disponible;10
B337;Jamón cocido feteado 200g;Paladini;Alimentos;Jamón cocido de primera calidad.;4.10;Stock disponible;13
B338;Queso cremoso 500g;Ilolay;Lácteos;Ideal para picadas, sandwiches o cocinar.;5.20;Stock disponible;15
B339;Queso rallado 50g;La Paulina;Lácteos;Para pastas y gratinados, sabor intenso.;2.10;Stock disponible;19
B340;Queso pategrás 300g;Ilolay;Lácteos;Queso semiduro, sabor suave, para tablas y picadas.;5.90;Stock disponible;9
B341;Manteca tradicional 200g;Sancor;Lácteos;Ideal para cocinar, untar o repostería.;2.60;Stock disponible;14
B342;Crema para batir 360g;Sancor;Lácteos;Textura ideal para postres y tortas.;3.50;Stock disponible;11
B343;Yogur natural 180g;Ser;Lácteos;Sin azúcar agregada, fuente de probióticos.;1.80;Stock disponible;16
B344;Leche deslactosada 1L;Ilolay;Lácteos;Especial para intolerantes a la lactosa.;2.50;Stock disponible;9
B345;Leche vegetal almendra 1L;Silk;Bebidas;Alternativa vegana, sin gluten ni lactosa.;2.90;Stock disponible;7
B346;Leche vegetal avena 1L;Silk;Bebidas;Sabor suave y cremosa, ideal para dietas veganas.;2.90;Stock disponible;8
B347;Yogur griego natural 120g;La Serenísima;Lácteos;Textura cremosa, alto en proteínas.;2.10;Stock disponible;6
B348;Postre tiramisú 100g;Ser;Lácteos;Postre listo para comer, sabor clásico italiano.;2.50;Stock disponible;8
B349;Postre dulce de leche 120g;Ser;Lácteos;Postre lácteo, cremoso y sabroso.;2.10;Stock disponible;10
B350;Helado dulce de leche 1L;Grido;Alimentos;Helado cremoso con salsa de dulce de leche.;5.50;Stock disponible;11
B351;Helado crema americana 1L;Grido;Alimentos;Clásico sabor crema americana, suave y delicioso.;5.50;Stock disponible;10
B352;Helado limón 1L;Grido;Alimentos;Refrescante sabor cítrico, ideal para verano.;5.50;Stock disponible;8
B353;Sandwich helado x4;Grido;Alimentos;Postre individual, galletita y helado.;4.40;Stock disponible;14
B354;Alfajor marplatense x6;Havanna;Alimentos;Clásico alfajor con dulce de leche, bañado en chocolate.;7.90;Stock disponible;11
B355;Churros rellenos x6;Panadería Don Juan;Alimentos;Churros rellenos con dulce de leche.;5.50;Stock disponible;7
B356;Facturas mixtas x12;Panadería Don Juan;Alimentos;Variedad de facturas frescas y artesanales.;8.50;Stock disponible;10
B357;Pan francés 1kg;Panadería Don Juan;Alimentos;Pan fresco del día, corteza crocante.;2.20;Stock disponible;17
B358;Pan integral con semillas 370g;Fargo;Alimentos;Pan rico en fibras y semillas.;2.60;Stock disponible;12
B359;Pan de salvado 370g;Bimbo;Alimentos;Ideal para sandwiches saludables.;2.60;Stock disponible;10
B360;Focaccia 200g;Panadería Don Juan;Alimentos;Pan italiano con aceite de oliva y hierbas.;3.10;Stock disponible;8
B361;Bizcochuelo marmolado 540g;Exquisita;Alimentos;Mezcla para bizcochuelo de vainilla y chocolate.;2.80;Stock disponible;11
B362;Galletitas dulces sabor limón 120g;Sonrisas;Alimentos;Con relleno suave y sabor cítrico.;2.10;Stock disponible;12
B363;Palmeritas 200g;Arcor;Alimentos;Pastelería dulce, crocante y deliciosa.;2.50;Stock disponible;10
B364;Galletas de vainilla 100g;Chocolinas;Alimentos;Galletitas sabor vainilla, ideales para mate.;2.00;Stock disponible;11
B365;Barra de cereal chocolate 25g;Granix;Alimentos;Snack energético, sabor a chocolate.;1.10;Stock disponible;9
B366;Budín de chocolate 200g;Arcor;Alimentos;Esponjoso, con chips de chocolate.;2.20;Stock disponible;10
B367;Tostadas integrales sin sal 150g;Fargo;Alimentos;Bajas en sodio, aptas para hipertensos.;2.10;Stock disponible;12
B368;Arvejas secas 500g;Don Vittorio;Alimentos;Ideales para guisos, sopas o ensaladas.;1.90;Stock disponible;13
B369;Garbanzos cocidos 350g;Lucchetti;Alimentos;Listos para consumir, fuente de proteínas.;2.30;Stock disponible;11
B370;Lentejas cocidas 350g;Lucchetti;Alimentos;Prácticas y listas, ricas en hierro y fibra.;2.30;Stock disponible;10
B371;Porotos alubia 500g;Don Vittorio;Alimentos;Para guisos, ensaladas o milanesas.;2.20;Stock disponible;8
B372;Mix legumbres 350g;Lucchetti;Alimentos;Variedad de legumbres listas para servir.;2.40;Stock disponible;7
B373;Arroz primavera 200g;Lucchetti;Alimentos;Arroz con verduras deshidratadas, listo en minutos.;1.90;Stock disponible;12
B374;Arroz para sushi 500g;Yama Sushi;Alimentos;Grano corto, ideal para sushi y cocina oriental.;3.40;Stock disponible;5
B375;Salsa teriyaki 250ml;Kikkoman;Alimentos;Auténtica salsa japonesa para salteados y marinados.;4.10;Stock disponible;6
B376;Salsa de soja 250ml;Kikkoman;Alimentos;Clásica salsa asiática, baja en sodio.;2.80;Stock disponible;7
B377;Wasabi en pasta 43g;Blue Dragon;Alimentos;Pasta picante tradicional para sushi.;3.20;Stock disponible;3
B378;Algas nori para sushi x10;Noriten;Alimentos;Láminas de alga para preparar sushi.;4.50;Stock disponible;4
B379;Pan pita x4;Panadería Don Juan;Alimentos;Pan plano tradicional, ideal para shawarma.;2.40;Stock disponible;8
B380;Pan árabe x6;Panadería Don Juan;Alimentos;Suave, sin corteza, para wraps y snacks.;2.50;Stock disponible;9
B381;Harina de garbanzo 500g;Nutrilon;Alimentos;Ideal para fainá, tortillas y recetas veganas.;2.10;Stock disponible;5
B382;Polenta precocida 500g;Mágica;Alimentos;Para acompañar carnes y guisos.;1.40;Stock disponible;10
B383;Fideos integrales 500g;Lucchetti;Alimentos;Con trigo integral, ricos en fibras.;2.20;Stock disponible;7
B384;Fideos al huevo 500g;Don Vicente;Alimentos;Fideos tradicionales, textura casera.;2.10;Stock disponible;8
B385;Ñoquis de papa 500g;Don Vicente;Alimentos;Pastas frescas listas para hervir.;2.80;Stock disponible;7
B386;Ravioles ricota y nuez 500g;Don Vicente;Alimentos;Pastas rellenas, sabrosas y nutritivas.;3.90;Stock disponible;6
B387;Canelones espinaca y ricota 500g;Don Vicente;Alimentos;Pastas listas para hornear, relleno suave.;3.90;Stock disponible;5
B388;Tallarines frescos 500g;Don Vicente;Alimentos;Ideales para salsas y guisos.;2.80;Stock disponible;9
B389;Sorrentinos jamón y queso 500g;Don Vicente;Alimentos;Rellenos generosos, textura artesanal.;4.20;Stock disponible;4
B390;Pan rallado con perejil 500g;Noel;Alimentos;Ideal para milanesas saborizadas.;2.20;Stock disponible;7
B391;Tapas para pascualina x2;La Salteña;Alimentos;Masa lista para tartas y pascualinas.;2.10;Stock disponible;9
B392;Tapas para empanadas horno x12;La Salteña;Alimentos;Discos de masa para empanadas al horno.;2.00;Stock disponible;10
B393;Tapas para empanadas fritas x12;La Salteña;Alimentos;Discos de masa especial para fritura.;2.00;Stock disponible;8
B394;Mantecol 110g;Georgalos;Alimentos;Dulce típico argentino a base de maní.;2.50;Stock disponible;12
B395;Turrón blando 100g;Georgalos;Alimentos;Turrón de maní, suave y dulce.;2.20;Stock disponible;10
B396;Turrón duro 100g;Georgalos;Alimentos;Crocante, clásico de las fiestas.;2.20;Stock disponible;8
B397;Barra de cereal manzana 25g;Granix;Alimentos;Snack energético sabor manzana.;1.10;Stock disponible;7
B398;Bizcocho dulce 120g;Arcor;Alimentos;Bizcocho tierno y sabroso para la merienda.;1.80;Stock disponible;9
B399;Alfajor de maicena x3;Havanna;Alimentos;Con dulce de leche y coco rallado.;3.90;Stock disponible;11
B400;Chocotorta porción;Panadería Don Juan;Alimentos;Postre frío a base de galletitas y dulce de leche.;3.80;Stock disponible;10
B401;Empanadas jamón y queso x6;La Salteña;Alimentos;Empanadas listas para hornear, relleno cremoso.;4.90;Stock disponible;11
B402;Empanadas capresse x6;La Salteña;Alimentos;Empanadas de tomate, mozzarella y albahaca.;4.90;Stock disponible;8
B403;Medallones de pollo x4;Granja del Sol;Alimentos;Rebozados, listos para horno o sartén.;4.40;Stock disponible;9
B404;Medallones de merluza x4;Granja del Sol;Alimentos;Pescado rebozado, fácil de preparar.;4.80;Stock disponible;7
B405;Filet de merluza 500g;Pesquera Patagónica;Alimentos;Filetes frescos y despinados, congelados.;6.20;Stock disponible;6
B406;Calamares en anillos 400g;Pesquera Patagónica;Alimentos;Anillas limpias, listas para freír.;6.70;Stock disponible;5
B407;Camarones pelados 300g;Pesquera Patagónica;Alimentos;Camarones sin piel ni cabeza, para ensaladas y pastas.;7.40;Stock disponible;5
B408;Medallones de espinaca x4;Paty Veggie;Alimentos;Rebozados, opción vegetariana y saludable.;3.70;Stock disponible;6
B409;Hamburguesas de carne x4;Paty;Alimentos;Hamburguesas clásicas, ideales para asar o sartén.;5.20;Stock disponible;10
B410;Hamburguesas de pollo x4;Granja del Sol;Alimentos;Opción más ligera, listas para cocinar.;4.60;Stock disponible;9
B411;Pan de hamburguesa x6;Bimbo;Alimentos;Suave y aireado, perfecto para burgers caseras.;2.20;Stock disponible;11
B412;Pan de pancho x6;Fargo;Alimentos;Ideal para panchos y snacks.;2.20;Stock disponible;12
B413;Salsa ketchup 400g;Heinz;Alimentos;Clásica salsa de tomate para aderezar comidas.;2.10;Stock disponible;15
B414;Salsa mostaza 200g;Heinz;Alimentos;Mostaza amarilla, sabor intenso y cremoso.;1.80;Stock disponible;13
B415;Salsa golf 200g;La Campagnola;Alimentos;Aderezo clásico para ensaladas y picadas.;2.00;Stock disponible;11
B416;Mayonesa light 500g;Hellmann’s;Alimentos;Menos calorías, sabor tradicional.;2.30;Stock disponible;9
B417;Salsa barbacoa 250g;Hellmann’s;Alimentos;Sabor ahumado y dulce, ideal para carnes.;2.60;Stock disponible;7
B418;Salsa cheddar 250g;Milkaut;Alimentos;Para nachos, papas y snacks.;2.60;Stock disponible;8
B419;Salsa criolla 200g;La Campagnola;Alimentos;Aderezo típico argentino, fresco y sabroso.;2.10;Stock disponible;11
B420;Salsa chimichurri 200g;La Campagnola;Alimentos;Clásica para carnes a la parrilla.;2.10;Stock disponible;10
B421;Sal gruesa parrillera 1kg;Refisal;Alimentos;Especial para asados y parrillas.;1.50;Stock disponible;16
B422;Ají molido 50g;Marolio;Alimentos;Especias para dar sabor y picor a tus comidas.;1.20;Stock disponible;13
B423;Pimienta negra molida 50g;Marolio;Alimentos;Sabor intenso, imprescindible en la cocina.;1.30;Stock disponible;12
B424;Orégano 20g;Marolio;Alimentos;Hierba seca, ideal para pizzas y salsas.;1.10;Stock disponible;11
B425;Laurel en hojas 10g;Marolio;Alimentos;Para aromatizar guisos y sopas.;1.10;Stock disponible;9
B426;Comino molido 30g;Marolio;Alimentos;Especia aromática, perfecta para carnes y empanadas.;1.10;Stock disponible;10
B427;Canela en polvo 30g;Marolio;Alimentos;Para postres y repostería, sabor y aroma intenso.;1.20;Stock disponible;11
B428;Puré de tomate 520g;La Campagnola;Alimentos;Puré natural, sin aditivos ni conservantes.;1.90;Stock disponible;13
B429;Tomate triturado 520g;La Campagnola;Alimentos;Salsa básica para pastas y guisos.;2.00;Stock disponible;12
B430;Choclo cremoso 350g;Arcor;Alimentos;Choclo dulce en crema, listo para servir.;2.30;Stock disponible;9
B431;Espárragos en conserva 330g;La Colina;Alimentos;Espárragos tiernos, ideales para ensaladas y entradas.;3.20;Stock disponible;7
B432;Palmitos en conserva 400g;La Colina;Alimentos;Palmitos seleccionados, textura suave.;3.90;Stock disponible;8
B433;Alcauciles en conserva 330g;La Colina;Alimentos;Alcauciles tiernos, listos para consumir.;3.80;Stock disponible;5
B434;Guisantes en conserva 350g;Arcor;Alimentos;Guisantes tiernos, listos para ensaladas y guisos.;2.10;Stock disponible;10
B435;Champiñones en conserva 330g;La Colina;Alimentos;Champiñones enteros, perfectos para pizzas y ensaladas.;3.10;Stock disponible;7
B436;Sardinas en aceite 125g;La Campagnola;Alimentos;Pescado en conserva, rico en Omega 3.;2.40;Stock disponible;8
B437;Anchoas en aceite 50g;Nardín;Alimentos;Filetes de anchoa, sabor intenso.;3.90;Stock disponible;5
B438;Atún en aceite 170g;La Campagnola;Alimentos;Filetes de atún en conserva, bajos en sodio.;2.80;Stock disponible;12
B439;Atún al natural 170g;La Campagnola;Alimentos;Conserva saludable, bajo en grasa.;2.60;Stock disponible;11
B440;Bacalao desmenuzado 200g;La Colina;Alimentos;Ideal para empanadas y guisos.;4.80;Stock disponible;4
B441;Melva en aceite 125g;Isabel;Alimentos;Pescado azul, fuente de ácidos grasos esenciales.;2.90;Stock disponible;5
B442;Caldo de pollo x6;Knorr;Alimentos;Tabletas para preparar caldos y sopas.;1.80;Stock disponible;18
B443;Caldo de verdura x6;Knorr;Alimentos;Sabor intenso, sin conservantes.;1.80;Stock disponible;15
B444;Caldo de carne x6;Knorr;Alimentos;Realza el sabor de guisos y sopas.;1.80;Stock disponible;13
B445;Sopa crema de choclo 70g;Knorr;Alimentos;Fácil y rápida, sabor casero.;1.50;Stock disponible;14
B446;Sopa crema de zapallo 70g;Knorr;Alimentos;Sabor suave, lista en minutos.;1.50;Stock disponible;13
B447;Sopa crema de cebolla 70g;Knorr;Alimentos;Textura cremosa, sabor intenso.;1.50;Stock disponible;11
B448;Puré instantáneo papas 125g;Knorr;Alimentos;Rápido de preparar, textura casera.;1.60;Stock disponible;14
B449;Puré instantáneo calabaza 125g;Knorr;Alimentos;Práctico, sabor natural y suave.;1.60;Stock disponible;12
B450;Polenta lista en 1 min 500g;Mágica;Alimentos;Para comidas rápidas, textura perfecta.;1.10;Stock disponible;10
B451;Crema pastelera 400g;Exquisita;Alimentos;Preparado para repostería, fácil y sabroso.;2.30;Stock disponible;9
B452;Postre instantáneo vainilla 70g;Exquisita;Alimentos;Postre en polvo, sólo agregar leche.;1.10;Stock disponible;10
B453;Postre instantáneo chocolate 70g;Exquisita;Alimentos;Sabor intenso, práctico y delicioso.;1.10;Stock disponible;9
B454;Polvo para bizcochuelo 540g;Exquisita;Alimentos;Mezcla lista para preparar bizcochuelo.;2.80;Stock disponible;11
B455;Chocolatada en polvo 400g;Nesquik;Bebidas;Para preparar leche chocolatada, enriquecido con vitaminas.;3.10;Stock disponible;15
B456;Café instantáneo 170g;Nescafé;Bebidas;Práctico, sabor y aroma intensos.;4.20;Stock disponible;13
